"feature","subgroup","group"
"F0semitoneFrom27.5Hz_sma3nz_amean","F0 percentiles","Frequency"
"F0semitoneFrom27.5Hz_sma3nz_stddevNorm","F0 variability","Frequency"
"F0semitoneFrom27.5Hz_sma3nz_percentile20.0","F0 percentiles","Frequency"
"F0semitoneFrom27.5Hz_sma3nz_percentile50.0","F0 percentiles","Frequency"
"F0semitoneFrom27.5Hz_sma3nz_percentile80.0","F0 percentiles","Frequency"
"F0semitoneFrom27.5Hz_sma3nz_pctlrange0.2","F0 percentiles","Frequency"
"F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","F0 variability","Frequency"
"F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","F0 variability","Frequency"
"F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","F0 variability","Frequency"
"F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","F0 variability","Frequency"
"loudness_sma3_amean","loudness","Amplitude"
"loudness_sma3_stddevNorm","loudness","Amplitude"
"loudness_sma3_percentile20.0","loudness","Amplitude"
"loudness_sma3_percentile50.0","loudness","Amplitude"
"loudness_sma3_percentile80.0","loudness","Amplitude"
"loudness_sma3_pctlrange0.2","loudness","Amplitude"
"loudness_sma3_meanRisingSlope","loudness","Amplitude"
"loudness_sma3_stddevRisingSlope","loudness","Amplitude"
"loudness_sma3_meanFallingSlope","loudness","Amplitude"
"loudness_sma3_stddevFallingSlope","loudness","Amplitude"
"spectralFlux_sma3_amean","spectral flux","Spectral balance"
"spectralFlux_sma3_stddevNorm","spectral flux","Spectral balance"
"mfcc1_sma3_amean","MFCC1,2,4","Spectral balance"
"mfcc1_sma3_stddevNorm","MFCC1,2,4","Spectral balance"
"mfcc2_sma3_amean","MFCC1,2,4","Spectral balance"
"mfcc2_sma3_stddevNorm","MFCC1,2,4","Spectral balance"
"mfcc3_sma3_amean","MFCC3","Spectral balance"
"mfcc3_sma3_stddevNorm","MFCC3","Spectral balance"
"mfcc4_sma3_amean","MFCC1,2,4","Spectral balance"
"mfcc4_sma3_stddevNorm","MFCC1,2,4","Spectral balance"
"jitterLocal_sma3nz_amean","jitter","Frequency"
"jitterLocal_sma3nz_stddevNorm","jitter","Frequency"
"shimmerLocaldB_sma3nz_amean","shimmer","Amplitude"
"shimmerLocaldB_sma3nz_stddevNorm","shimmer","Amplitude"
"HNRdBACF_sma3nz_amean","HNR","Amplitude"
"HNRdBACF_sma3nz_stddevNorm","HNR","Amplitude"
"logRelF0.H1.H2_sma3nz_amean","harmonic difference","Frequency"
"logRelF0.H1.H2_sma3nz_stddevNorm","harmonic difference","Frequency"
"logRelF0.H1.A3_sma3nz_amean","harmonic difference","Frequency"
"logRelF0.H1.A3_sma3nz_stddevNorm","harmonic difference","Frequency"
"F1frequency_sma3nz_amean","formants","Frequency"
"F1frequency_sma3nz_stddevNorm","formants","Frequency"
"F1bandwidth_sma3nz_amean","formants","Frequency"
"F1bandwidth_sma3nz_stddevNorm","formants","Frequency"
"F1amplitudeLogRelF0_sma3nz_amean","formants","Frequency"
"F1amplitudeLogRelF0_sma3nz_stddevNorm","formants","Frequency"
"F2frequency_sma3nz_amean","formants","Frequency"
"F2frequency_sma3nz_stddevNorm","formants","Frequency"
"F2bandwidth_sma3nz_amean","formants","Frequency"
"F2bandwidth_sma3nz_stddevNorm","formants","Frequency"
"F2amplitudeLogRelF0_sma3nz_amean","formants","Frequency"
"F2amplitudeLogRelF0_sma3nz_stddevNorm","formants","Frequency"
"F3frequency_sma3nz_amean","formants","Frequency"
"F3frequency_sma3nz_stddevNorm","formants","Frequency"
"F3bandwidth_sma3nz_amean","formants","Frequency"
"F3bandwidth_sma3nz_stddevNorm","formants","Frequency"
"F3amplitudeLogRelF0_sma3nz_amean","formants","Frequency"
"F3amplitudeLogRelF0_sma3nz_stddevNorm","formants","Frequency"
"alphaRatioV_sma3nz_amean","alpha ratio","Spectral balance"
"alphaRatioV_sma3nz_stddevNorm","alpha ratio","Spectral balance"
"hammarbergIndexV_sma3nz_amean","Hammarberg index","Spectral balance"
"hammarbergIndexV_sma3nz_stddevNorm","Hammarberg index","Spectral balance"
"slopeV0.500_sma3nz_amean","spectral slope","Spectral balance"
"slopeV0.500_sma3nz_stddevNorm","spectral slope","Spectral balance"
"slopeV500.1500_sma3nz_amean","spectral slope","Spectral balance"
"slopeV500.1500_sma3nz_stddevNorm","spectral slope","Spectral balance"
"spectralFluxV_sma3nz_amean","spectral flux","Spectral balance"
"spectralFluxV_sma3nz_stddevNorm","spectral flux","Spectral balance"
"mfcc1V_sma3nz_amean","MFCC1,2,4","Spectral balance"
"mfcc1V_sma3nz_stddevNorm","MFCC1,2,4","Spectral balance"
"mfcc2V_sma3nz_amean","MFCC1,2,4","Spectral balance"
"mfcc2V_sma3nz_stddevNorm","MFCC1,2,4","Spectral balance"
"mfcc3V_sma3nz_amean","MFCC3","Spectral balance"
"mfcc3V_sma3nz_stddevNorm","MFCC3","Spectral balance"
"mfcc4V_sma3nz_amean","MFCC1,2,4","Spectral balance"
"mfcc4V_sma3nz_stddevNorm","MFCC1,2,4","Spectral balance"
"alphaRatioUV_sma3nz_amean","alpha ratio","Spectral balance"
"hammarbergIndexUV_sma3nz_amean","Hammarberg index","Spectral balance"
"slopeUV0.500_sma3nz_amean","spectral slope","Spectral balance"
"slopeUV500.1500_sma3nz_amean","spectral slope","Spectral balance"
"spectralFluxUV_sma3nz_amean","spectral flux","Spectral balance"
"loudnessPeaksPerSec","duration","Temporal"
