,language1,language2,distance
0,Abkhaz,Abkhaz,0.0
1,Abkhaz,Adyghe,71.0
2,Abkhaz,Afar,94.5
3,Abkhaz,Afrikaans,93.2
4,Abkhaz,Ainu,100.0
5,Abkhaz,Albanian_(Gheg),100.0
6,Abkhaz,Albanian_(Tosk),100.0
7,Abkhaz,Aleut,89.8
8,Abkhaz,Altai,89.7
9,Abkhaz,Amharic,90.9
10,Abkhaz,Arabic,100.0
11,Abkhaz,Aramaic_(Syriac),100.0
12,Abkhaz,Arbanaski,100.0
13,Abkhaz,Armenian,91.6
14,Abkhaz,Armenian_(Eastern),88.4
15,Abkhaz,Assamese,95.3
16,Abkhaz,Avar,94.9
17,Abkhaz,Azeri,87.9
18,Abkhaz,Balochi,93.2
19,Abkhaz,Basaa,85.7
20,Abkhaz,Bashkir,89.7
21,Abkhaz,Basque,84.2
22,Abkhaz,Belarusian,85.8
23,Abkhaz,Bemba,90.0
24,Abkhaz,Bengali,97.6
25,Abkhaz,Bihari,94.7
26,Abkhaz,Bole,89.9
27,Abkhaz,Brahui,96.4
28,Abkhaz,Brazilian,96.9
29,Abkhaz,Breton,97.0
30,Abkhaz,Bulgarian,86.5
31,Abkhaz,Burmese,97.8
32,Abkhaz,Burushaski,96.9
33,Abkhaz,Buryat,96.9
34,Abkhaz,Buyang,96.2
35,Abkhaz,Catalan,93.2
36,Abkhaz,Cebuano,94.3
37,Abkhaz,Chechen,86.2
38,Abkhaz,Chinese_(Cantonese),92.9
39,Abkhaz,Chinese_(Mandarin),93.9
40,Abkhaz,Chuvash,92.2
41,Abkhaz,Comorian,75.9
42,Abkhaz,Cornish,97.0
43,Abkhaz,Croatian,88.8
44,Abkhaz,Czech,88.1
45,Abkhaz,Danish,96.4
46,Abkhaz,Dargwa,78.3
47,Abkhaz,Dhivehi_(Maldivian),93.8
48,Abkhaz,Ossetic_(Digor),82.6
49,Abkhaz,Dizi,96.4
50,Abkhaz,Douala,85.7
51,Abkhaz,Dutch,93.7
52,Abkhaz,English,96.4
53,Abkhaz,Estonian,89.9
54,Abkhaz,Even,87.8
55,Abkhaz,Faroese,96.4
56,Abkhaz,Finnish,94.1
57,Abkhaz,Flemish,93.7
58,Abkhaz,French,100.0
59,Abkhaz,Frisian,96.4
60,Abkhaz,Friulian,90.5
61,Abkhaz,Fula,97.9
62,Abkhaz,Galician,96.9
63,Abkhaz,Gelao,100.0
64,Abkhaz,Georgian,89.8
65,Abkhaz,German,97.3
66,Abkhaz,Greek_(modern),100.0
67,Abkhaz,Greenlandic_(Eastern),91.6
68,Abkhaz,Greenlandic_(Western),94.3
69,Abkhaz,Gujarati,88.5
70,Abkhaz,Gypsy_Romani,100.0
71,Abkhaz,Hausa,92.7
72,Abkhaz,Hebrew,100.0
73,Abkhaz,Hindi,100.0
74,Abkhaz,Hungarian,92.1
75,Abkhaz,Icelandic,100.0
76,Abkhaz,Igbo,93.8
77,Abkhaz,Indonesian,90.6
78,Abkhaz,Irish,89.1
79,Abkhaz,Ossetic_(Iron),77.9
80,Abkhaz,Ishkashimi,90.6
81,Abkhaz,Istro-Romanian,87.3
82,Abkhaz,Italian,100.0
