language	description	reference	emotions	elicitation	size
Basque	Audiovisual Database of Emotional Speech in Basque	Navas, 2004a	Anger, disgust, fear, happiness, sadness, surprise, neutral	Audio–visual recordings of a professional actress uttering isolated words and digits as well as sentences of different length, both with emotional content and emotion-independent content	450 utterances with emotional content, 665 utterances with emotionindependent content, 1 female speaker.
Basque	Emotional Speech Database for Corpus Based Synthesis in Basque	Saratxaga, 2006	Anger, disgust, fear, happiness, sadness, surprise, neutral	Recordings of two speakers reading texts	702 sentences per emotion (20 h of recordings in total), two speakers (one female, one male).
Burmese	Emotional speech corpus	Nwe, 2001	Anger, dislike, fear, happiness, sadness, surprise	Recordings of two speakers uttering sentences experienced in daily life in different emotional states including rehearsals	144 sentences (54 sentences of the first speaker, 90 sentences of the second speaker, 0.6 to 1.6 s per sentence), two speakers.
Chinese	Emotional speech corpus	Yang, Campbell, 2001	various	Recordings of Mandarin Chinese speakers, combination of acoustic data from spontaneous conversation and experimental data from perceptual tests	6 h of recorded speech.
Chinese	Emotional speech database	Yuan, 2002	Anger, fear, joy, sadness	Speakers were asked to read the first paragraphs of a story evoking certain emotions. Recordings of the last paragraph plus two target sentences uttered emotionally	288 target sentences, nine female speakers.
Chinese	Drama corpus	Chuang, Wu, 2004	Anger, disgust, fear, happiness, sadness, surprise, neutral	Recordings of professional impersonators in different emotional states	2,100 sentences in 440 dialogues by two speakers (1,085 sentences in 227 dialogues from the leading man, 1,015 sentences in 213 dialogues from the leading woman).
Chinese	Emotional speech database	Dan-Ning Jiang, 2004	Anger, fear, happiness, sadness, surprise, neutral	Recordings of an amateur actress uttering different sentence types (statements, questions)	Approx. 200 utterances per emotion, neutral database with approx. 300 utterances, one female speaker.
Chinese	Mandarin Emotional Speech Corpus	Pao, 2004	Anger, boredom, happiness, sadness, neutral	Recordings of short utterances expressed by native Mandarin speakers in different emotional states; Recordings of utterances expressed by professional Mandarin speakers in different emotional states	558 utterances, 12 speakers (seven females, five males).; 503 utterances, two speakers (one female, one male).
Chinese	Spontaneous speech corpus used	Tao, 2004	Anger, fear, hate, joy, sadness, surprise, neutral	No further information available	835 sentences, 5,000 words used by Tao (2004).
Chinese	Acted speech corpus	Tao, 2006	Anger, fear, happiness, sadness, neutral	A professional actress reading texts from a Reader’s Digestcollection	1,500 utterances, 3,649 phrases, one speaker.
