data_grouping,new_label,key,value
speaker,sex,1,M
speaker,sex,2,M
speaker,sex,3,M
speaker,sex,4,M
speaker,sex,5,M
speaker,sex,6,F
speaker,sex,7,F
speaker,sex,8,M
speaker,sex,11,M
speaker,sex,12,M
speaker,sex,13,F
speaker,sex,14,F
speaker,sex,15,M
speaker,sex,16,M
speaker,sex,17,F
speaker,sex,18,F
speaker,sex,19,F
speaker,sex,20,F
speaker,sex,21,F
speaker,sex,22,M
speaker,sex,23,M
speaker,sex,24,M
speaker,sex,25,F
speaker,sex,26,M
speaker,sex,27,M
speaker,sex,29,M
speaker,sex,30,M
speaker,sex,32,F
speaker,sex,33,F
speaker,sex,34,F
speaker,sex,35,F
speaker,sex,36,M
speaker,sex,37,M
speaker,sex,38,M
speaker,sex,39,F
speaker,sex,40,F
speaker,sex,41,F
speaker,sex,42,M
speaker,sex,43,F
speaker,sex,44,M
speaker,sex,45,F
speaker,sex,46,F
speaker,sex,47,F
speaker,sex,48,F
speaker,sex,49,F
speaker,sex,50,F
speaker,sex,51,F
speaker,sex,52,F
speaker,sex,53,M
speaker,sex,54,M
speaker,sex,55,F
speaker,sex,56,M
speaker,sex,57,F
speaker,age,1,33
speaker,age,2,33
speaker,age,3,30
speaker,age,4,46
speaker,age,5,31
speaker,age,6,30
speaker,age,7,33
speaker,age,8,39
speaker,age,11,33
speaker,age,12,33
speaker,age,13,37
speaker,age,14,33
speaker,age,15,52
speaker,age,16,48
speaker,age,17,38
speaker,age,18,23
speaker,age,19,45
speaker,age,20,43
speaker,age,21,57
speaker,age,22,46
speaker,age,23,35
speaker,age,24,49
speaker,age,25,26
speaker,age,26,41
speaker,age,27,50
speaker,age,29,50
speaker,age,30,42
speaker,age,32,42
speaker,age,33,36
speaker,age,34,46
speaker,age,35,47
speaker,age,36,46
speaker,age,37,33
speaker,age,38,31
speaker,age,39,47
speaker,age,40,26
speaker,age,41,27
speaker,age,42,57
speaker,age,43,47
speaker,age,44,34
speaker,age,45,40
speaker,age,46,36
speaker,age,47,45
speaker,age,48,45
speaker,age,49,51
speaker,age,50,34
speaker,age,51,33
speaker,age,52,40
speaker,age,53,35
speaker,age,54,30
speaker,age,55,49
speaker,age,56,29
speaker,age,57,47
