data_grouping,new_label,key,value
speaker,sex,10,AU
speaker,sex,11,AU
speaker,sex,12,AU
speaker,sex,13,AU
speaker,sex,14,AU
speaker,sex,15,AU
speaker,sex,16,AU
speaker,sex,17,AU
speaker,sex,18,AU
speaker,sex,19,AU
speaker,sex,1,AU
speaker,sex,20,AU
speaker,sex,2,AU
speaker,sex,3,AU
speaker,sex,4,AU
speaker,sex,5,AU
speaker,sex,6,AU
speaker,sex,7,AU
speaker,sex,8,AU
speaker,sex,9,AU
speaker,sex,35,IN
speaker,sex,36,IN
speaker,sex,37,IN
speaker,sex,38,IN
speaker,sex,39,IN
speaker,sex,40,IN
speaker,sex,41,IN
speaker,sex,42,IN
speaker,sex,43,IN
speaker,sex,44,IN
speaker,sex,26,IN
speaker,sex,45,IN
speaker,sex,27,IN
speaker,sex,28,IN
speaker,sex,29,IN
speaker,sex,30,IN
speaker,sex,31,IN
speaker,sex,32,IN
speaker,sex,33,IN
speaker,sex,34,IN
speaker,sex,60,KE
speaker,sex,61,KE
speaker,sex,62,KE
speaker,sex,63,KE
speaker,sex,64,KE
speaker,sex,65,KE
speaker,sex,66,KE
speaker,sex,67,KE
speaker,sex,68,KE
speaker,sex,69,KE
speaker,sex,51,KE
speaker,sex,70,KE
speaker,sex,52,KE
speaker,sex,53,KE
speaker,sex,54,KE
speaker,sex,55,KE
speaker,sex,56,KE
speaker,sex,57,KE
speaker,sex,58,KE
speaker,sex,59,KE
speaker,sex,78,SI
speaker,sex,79,SI
speaker,sex,80,SI
speaker,sex,81,SI
speaker,sex,82,SI
speaker,sex,83,SI
speaker,sex,110,US
speaker,sex,111,US
speaker,sex,112,US
speaker,sex,113,US
speaker,sex,114,US
speaker,sex,115,US
speaker,sex,116,US
speaker,sex,117,US
speaker,sex,118,US
speaker,sex,119,US
speaker,sex,101,US
speaker,sex,120,US
speaker,sex,121,US
speaker,sex,122,US
speaker,sex,103,US
speaker,sex,105,US
speaker,sex,106,US
speaker,sex,107,US
speaker,sex,108,US
speaker,sex,109,US
speaker,sex,85,SI
speaker,sex,86,SI
speaker,sex,87,SI
speaker,sex,88,SI
speaker,sex,89,SI
speaker,sex,90,SI
speaker,sex,91,SI
speaker,sex,92,SI
speaker,sex,93,SI
speaker,sex,94,SI
speaker,sex,76,SI
speaker,sex,95,SI
speaker,sex,77,SI
speaker,sex,84,SI
