data_grouping,new_label,key,value
speaker,country,1,AU
speaker,sex,1,M
speaker,country,2,AU
speaker,sex,2,F
speaker,country,3,AU
speaker,sex,3,M
speaker,country,4,AU
speaker,sex,4,M
speaker,country,5,AU
speaker,sex,5,M
speaker,country,6,AU
speaker,sex,6,M
speaker,country,7,AU
speaker,sex,7,F
speaker,country,8,AU
speaker,sex,8,F
speaker,country,9,AU
speaker,sex,9,M
speaker,country,10,AU
speaker,sex,10,M
speaker,country,11,AU
speaker,sex,11,F
speaker,country,12,AU
speaker,sex,12,F
speaker,country,13,AU
speaker,sex,13,F
speaker,country,14,AU
speaker,sex,14,F
speaker,country,15,AU
speaker,sex,15,F
speaker,country,16,AU
speaker,sex,16,F
speaker,country,17,AU
speaker,sex,17,F
speaker,country,18,AU
speaker,sex,18,M
speaker,country,19,AU
speaker,sex,19,F
speaker,country,20,AU
speaker,sex,20,M
speaker,country,26,IN
speaker,sex,26,M
speaker,country,27,IN
speaker,sex,27,M
speaker,country,28,IN
speaker,sex,28,F
speaker,country,29,IN
speaker,sex,29,M
speaker,country,30,IN
speaker,sex,30,F
speaker,country,31,IN
speaker,sex,31,M
speaker,country,32,IN
speaker,sex,32,F
speaker,country,33,IN
speaker,sex,33,M
speaker,country,34,IN
speaker,sex,34,F
speaker,country,35,IN
speaker,sex,35,F
speaker,country,36,IN
speaker,sex,36,M
speaker,country,37,IN
speaker,sex,37,M
speaker,country,38,IN
speaker,sex,38,F
speaker,country,39,IN
speaker,sex,39,F
speaker,country,40,IN
speaker,sex,40,F
speaker,country,41,IN
speaker,sex,41,M
speaker,country,42,IN
speaker,sex,42,M
speaker,country,43,IN
speaker,sex,43,M
speaker,country,44,IN
speaker,sex,44,F
speaker,country,45,IN
speaker,sex,45,F
speaker,country,51,KE
speaker,sex,51,F
speaker,country,52,KE
speaker,sex,52,M
speaker,country,53,KE
speaker,sex,53,F
speaker,country,54,KE
speaker,sex,54,M
speaker,country,55,KE
speaker,sex,55,M
speaker,country,56,KE
speaker,sex,56,M
speaker,country,57,KE
speaker,sex,57,F
speaker,country,58,KE
speaker,sex,58,M
speaker,country,59,KE
speaker,sex,59,F
speaker,country,60,KE
speaker,sex,60,M
speaker,country,61,KE
speaker,sex,61,F
speaker,country,62,KE
speaker,sex,62,M
speaker,country,63,KE
speaker,sex,63,M
speaker,country,64,KE
speaker,sex,64,F
speaker,country,65,KE
speaker,sex,65,M
speaker,country,66,KE
speaker,sex,66,F
speaker,country,67,KE
speaker,sex,67,F
speaker,country,68,KE
speaker,sex,68,F
speaker,country,69,KE
speaker,sex,69,F
speaker,country,70,KE
speaker,sex,70,M
speaker,country,76,SI
speaker,sex,76,F
speaker,country,77,SI
speaker,sex,77,M
speaker,country,78,SI
speaker,sex,78,F
speaker,country,79,SI
speaker,sex,79,M
speaker,country,80,SI
speaker,sex,80,M
speaker,country,81,SI
speaker,sex,81,F
speaker,country,82,SI
speaker,sex,82,F
speaker,country,83,SI
speaker,sex,83,F
speaker,country,84,SI
speaker,sex,84,M
speaker,country,85,SI
speaker,sex,85,F
speaker,country,86,SI
speaker,sex,86,M
speaker,country,87,SI
speaker,sex,87,M
speaker,country,88,SI
speaker,sex,88,F
speaker,country,89,SI
speaker,sex,89,M
speaker,country,90,SI
speaker,sex,90,F
speaker,country,91,SI
speaker,sex,91,M
speaker,country,92,SI
speaker,sex,92,F
speaker,country,93,SI
speaker,sex,93,M
speaker,country,94,SI
speaker,sex,94,F
speaker,country,95,SI
speaker,sex,95,M
speaker,country,101,US
speaker,sex,101,F
speaker,country,103,US
speaker,sex,103,F
speaker,country,105,US
speaker,sex,105,F
speaker,country,106,US
speaker,sex,106,M
speaker,country,107,US
speaker,sex,107,M
speaker,country,108,US
speaker,sex,108,M
speaker,country,109,US
speaker,sex,109,M
speaker,country,110,US
speaker,sex,110,M
speaker,country,111,US
speaker,sex,111,F
speaker,country,112,US
speaker,sex,112,F
speaker,country,113,US
speaker,sex,113,F
speaker,country,114,US
speaker,sex,114,F
speaker,country,115,US
speaker,sex,115,F
speaker,country,116,US
speaker,sex,116,M
speaker,country,117,US
speaker,sex,117,M
speaker,country,118,US
speaker,sex,118,M
speaker,country,119,US
speaker,sex,119,M
speaker,country,120,US
speaker,sex,120,M
speaker,country,121,US
speaker,sex,121,F
speaker,country,122,US
speaker,sex,122,F
