data_grouping,new_label,key,value
speaker,sex,1,M
speaker,sex,2,M
speaker,sex,3,M
speaker,sex,4,F
speaker,sex,5,F
speaker,sex,6,M
speaker,sex,7,F
speaker,sex,8,M
speaker,sex,9,M
speaker,sex,10,M
speaker,sex,11,M
speaker,sex,12,M
speaker,sex,13,M
speaker,sex,14,M
speaker,sex,15,M
speaker,sex,16,M
speaker,sex,17,M
speaker,sex,18,M
speaker,sex,19,M
speaker,sex,20,M
speaker,sex,21,M
speaker,sex,22,M
speaker,sex,23,M
speaker,sex,24,M
speaker,sex,25,M
speaker,sex,26,F
speaker,sex,27,M
speaker,sex,28,F
speaker,sex,29,F
speaker,sex,30,M
speaker,sex,31,F
speaker,sex,32,M
speaker,sex,33,F
speaker,sex,34,M
speaker,sex,35,M
speaker,sex,36,M
speaker,sex,37,M
speaker,sex,38,M
speaker,sex,39,M
speaker,sex,40,M
speaker,sex,41,M
speaker,sex,42,M
speaker,sex,43,M
speaker,sex,44,F
